episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,td_error,grad_norm_actor,grad_norm_critic,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
28,115337,50.4104,496.3729,4288,0,0,1,0,1.0291,1.629,collision,626.6,0.00366,0.525686,-0.899213,0.896313,3.064319,1.72445,0.023151,5.986759,0.444298,0.465378,-1.0,1.0,-2.449326,0.051304,2.358948,0.438107,0.073323,0.025761,0.026989,0.0002,0.0002,0.438107,-2.771107,0.008654,7223,gru
29,119654,-52.9989,487.32,4317,0,0,1,0,1.1499,1.601,collision,648.5,6e-05,0.532947,-0.89717,0.896895,3.009838,1.738364,0.026464,5.991175,0.481795,0.424717,-0.471331,1.0,-2.462788,0.055882,2.359732,0.436009,0.078042,0.022876,0.021535,0.0002,0.0002,0.436009,-2.787883,0.008476,7493,gru
30,124087,-270.9845,551.6229,4433,0,0,1,0,1.4059,1.613,collision,671.3,0.000675,0.530822,-0.896932,0.891349,3.045788,1.733402,0.009466,5.98366,0.447292,0.464147,-1.0,1.0,-2.475738,0.038632,2.358949,0.433922,0.068085,0.02538,0.0293,0.0002,0.0002,0.433922,-2.803353,0.00831,7771,gru
31,128370,-25.8522,587.2592,4283,0,0,1,0,1.0965,1.626,collision,693.4,0.011438,0.531315,-0.895663,0.89663,3.084541,1.73443,0.015275,5.997474,0.480288,0.426741,-0.529719,1.0,-2.485209,0.044641,2.359097,0.431844,0.068597,0.031161,0.02699,0.0002,0.0002,0.431844,-2.819602,0.008197,8039,gru
32,132026,1232.0362,666.8705,3656,1,1,0,0,0.2972,1.627,goal,714.0,0.004771,0.525256,-0.898255,0.896228,3.096029,1.752204,0.02165,5.98677,0.503369,0.435278,-0.16044,1.008513,-2.508406,0.048834,2.359603,0.429776,0.071988,0.033029,0.042427,0.0002,0.0002,0.429776,-2.83615,0.008042,8268,gru
33,136476,-174.755,527.835,4450,0,0,1,0,1.2998,1.612,collision,735.7,0.006873,0.535348,-0.897661,0.897717,3.081306,1.748112,0.015123,5.98538,0.484491,0.425631,-0.508615,1.000166,-2.520228,0.046554,2.35987,0.427718,0.069712,0.02419,0.036707,0.0002,0.0002,0.427718,-2.852503,0.007898,8547,gru
34,140874,83.3794,410.9068,4398,0,0,1,0,1.0304,1.628,collision,757.8,-0.016508,0.528762,-0.898275,0.898889,3.096467,1.742174,0.003359,5.986725,0.48874,0.419982,-0.681726,1.009211,-2.531076,0.063398,2.359711,0.42567,0.077294,0.02837,0.021664,0.0002,0.0002,0.42567,-2.868495,0.007738,8822,gru
35,145085,726.0602,361.9483,4211,0,0,1,0,0.4114,1.611,collision,780.3,0.004218,0.532488,-0.898571,0.897819,3.05143,1.74557,0.014072,5.983451,0.481302,0.423467,-0.645834,1.0,-2.544604,0.049957,2.359685,0.423632,0.071478,0.023256,0.053265,0.0002,0.0002,0.423632,-2.884598,0.007564,9086,gru
36,148135,-637.8994,174.6667,3050,0,0,1,0,2.8903,1.636,collision,799.3,-0.008431,0.523617,-0.896511,0.897696,3.124387,1.770917,0.008106,5.982191,0.450576,0.452783,-0.749728,1.0,-2.556856,0.053045,2.361008,0.421603,0.07068,0.018382,0.032446,0.0002,0.0002,0.421603,-2.901865,0.007408,9277,gru
37,151451,-632.3837,29.7012,3316,0,0,1,0,2.719,1.605,collision,818.6,0.002141,0.533676,-0.899239,0.894495,3.048579,1.757301,0.014312,5.987189,0.456119,0.450193,-0.725056,1.0,-2.574648,0.078835,2.359351,0.419584,0.083037,0.022658,0.02898,0.0002,0.0002,0.419584,-2.916559,0.007324,9485,gru
