episode,global_step,reward,avg10,length,success,goal_touched,collision,timeout,min_dist,avg_speed_ms,end_reason,elapsed_s,act0_mean,act0_std,act0_min,act0_max,act1_mean,act1_std,act1_min,act1_max,obs_mean,obs_std,obs_min,obs_max,actor_loss,critic_loss,policy_entropy,entropy_coef,value_residual,grad_norm_actor,grad_norm_critic,lr_actor,lr_critic,alpha,alpha_loss,target_update_magnitude,replay_buffer_size,recurrent_cell
37,122714,-554.2513,-489.43,3514,0,0,1,0,1.7752,1.876,collision,394.0,0.092471,0.435163,-0.872574,0.886214,3.229677,1.41845,0.13226,5.964015,0.443147,0.466431,-1.0,1.0,,,,,,,,,,,,,0,gru
38,125109,-618.0424,-501.8146,2395,0,0,1,0,3.4894,1.882,collision,401.3,0.141226,0.423759,-0.858285,0.8785,3.296801,1.42534,0.083843,5.955785,0.37232,0.513012,-1.0,1.211738,,,,,,,,,,,,,0,gru
39,127937,-502.4526,-497.8949,2828,0,0,1,0,2.4805,1.869,collision,409.5,0.099646,0.432855,-0.837549,0.874151,3.194804,1.418022,0.144911,5.946217,0.442794,0.465054,-1.0,1.0,,,,,,,,,,,,,0,gru
40,131935,-176.9044,-460.4712,3998,0,0,1,0,0.818,1.88,collision,423.1,0.069012,0.43404,-0.867993,0.872337,3.195544,1.400964,0.094667,5.929564,0.450451,0.459473,-0.78882,1.011979,0.041047,1.589146,2.168724,0.009977,1.158309,0.442965,1.19414,0.0005,,,,,0,gru
41,135935,-50.3889,-403.6848,4000,0,0,0,1,0.7394,1.865,max_steps,435.4,0.071971,0.439344,-0.885,0.889925,3.200539,1.421051,0.097548,5.943983,0.457601,0.467756,-0.793222,1.002935,,,,,,,,,,,,,0,gru
42,139895,-306.733,-379.1753,3960,0,0,1,0,1.0064,1.859,collision,446.7,0.064799,0.436446,-0.870027,0.875526,3.186215,1.440873,0.088808,5.981454,0.448485,0.458263,-0.822491,1.0,,,,,,,,,,,,,0,gru
43,143895,-218.7345,-348.1735,4000,0,0,0,1,0.9928,1.874,max_steps,458.0,0.06525,0.433977,-0.867794,0.87771,3.17928,1.413627,0.063408,5.885768,0.452787,0.461086,-0.800563,1.001734,,,,,,,,,,,,,0,gru
44,146363,-521.9124,-352.9669,2468,0,0,1,0,2.9719,1.88,collision,467.1,0.110426,0.432945,-0.880147,0.887624,3.305816,1.420123,0.142428,5.9512,0.412065,0.484058,-0.999998,1.0,0.029843,1.127788,2.179547,0.009975,0.821809,0.336118,0.676851,0.0005,,,,,0,gru
45,150284,-518.4551,-358.404,3921,0,0,1,0,1.3619,1.889,collision,478.1,0.061778,0.431916,-0.878842,0.867753,3.236772,1.417752,0.112501,5.926136,0.45908,0.450225,-0.744449,1.0,,,,,,,,,,,,,0,gru
46,154095,-359.6771,-382.7552,3811,0,0,1,0,1.1323,1.883,collision,489.0,0.047081,0.430567,-0.889606,0.88908,3.212966,1.425815,0.090748,5.912349,0.45998,0.447379,-0.690697,1.0,,,,,,,,,,,,,0,gru
